x,45-50,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
24.3053,29.0301,22.2767,17.7171,14.8926,12.7826,10.5758,6.4366,2.1945,0.1988
24.334,29.1688,22.3569,17.7757,14.9461,12.8228,10.6074,6.4572,2.2008,0.1989
24.386,29.4203,22.5027,17.8761,15.0313,12.8962,10.6622,6.4931,2.2145,0.1992
24.5166,30.0552,22.8745,18.098,15.1588,13.0837,10.7935,6.5812,2.2503,0.2
24.6492,30.7032,23.2646,18.2966,15.2466,13.2744,10.9323,6.6796,2.2789,0.2007
24.672,30.8151,23.3333,18.3302,15.2698,13.3069,10.9574,6.6986,2.283,0.2008
24.6734,30.8219,23.3376,18.3323,15.2714,13.3089,10.9589,6.6998,2.2833,0.2009
24.7029,30.9666,23.4272,18.376,15.3076,13.3507,10.9918,6.7255,2.2882,0.201
24.7527,31.2127,23.5809,18.4513,15.3854,13.4206,11.0487,6.7727,2.296,0.2013
24.7775,31.3357,23.6582,18.4895,15.4316,13.455,11.0773,6.798,2.2997,0.2014
24.8842,31.8726,23.9964,18.661,15.6662,13.5988,11.2026,6.9207,2.3143,0.202
25.0699,32.8257,24.601,18.9843,16.1141,13.8264,11.4243,7.1639,2.3374,0.2031
25.1192,33.0787,24.7637,19.0739,16.2272,13.8804,11.4832,7.2295,2.3435,0.2034
25.121,33.0877,24.7695,19.0771,16.2311,13.8822,11.4853,7.2318,2.3437,0.2034
25.276,33.8834,25.2845,19.3665,16.535,14.0343,11.6671,7.4243,2.364,0.2042
25.2768,33.8874,25.2871,19.368,16.5363,14.035,11.668,7.4252,2.3641,0.2043
25.3269,34.1453,25.4547,19.4636,16.6107,14.0815,11.7243,7.4793,2.3715,0.2045
25.3539,34.2847,25.5454,19.5156,16.646,14.1066,11.7539,7.5062,2.3759,0.2047
25.6451,35.8087,26.5401,20.0941,16.9118,14.427,12.0798,7.7086,2.4528,0.2063
25.6674,35.9288,26.6181,20.1399,16.9325,14.4584,12.1078,7.72,2.46,0.2065
25.669,35.9373,26.6236,20.1431,16.934,14.4606,12.1097,7.7208,2.4605,0.2065
25.6956,36.0821,26.7171,20.198,16.9611,14.5,12.1436,7.7342,2.4688,0.2066
25.6991,36.1013,26.7294,20.2053,16.9649,14.5054,12.1481,7.736,2.4699,0.2066
25.7227,36.2323,26.813,20.2545,16.9924,14.5424,12.1787,7.7478,2.477,0.2068
25.7746,36.5303,26.9977,20.3636,17.0674,14.629,12.2466,7.7737,2.4921,0.2071
25.9302,37.5303,27.5581,20.7016,17.4458,14.9193,12.4544,7.8603,2.5348,0.2079
26.0137,38.0489,27.8586,20.8896,17.6847,15.0841,12.5665,7.9173,2.5569,0.2084
26.0907,38.5097,28.1336,21.0668,17.8907,15.2353,12.6697,7.9766,2.577,0.2089
26.2716,39.5698,28.7722,21.4906,18.305,15.5617,12.9065,8.1352,2.6239,0.2099
26.272,39.5723,28.7737,21.4916,18.3059,15.5624,12.907,8.1356,2.624,0.2099
26.2725,39.5749,28.7753,21.4926,18.3068,15.5631,12.9076,8.136,2.6242,0.2099
26.273,39.5779,28.7771,21.4938,18.3078,15.5639,12.9082,8.1365,2.6243,0.2099
26.3223,39.8645,28.9511,21.6079,18.4064,15.6402,12.9694,8.1833,2.637,0.2102
26.5328,41.0842,29.7135,22.0757,18.7875,15.9114,13.2037,8.3914,2.6912,0.2114
26.5363,41.1043,29.7271,22.0831,18.7934,15.9154,13.2074,8.3949,2.6921,0.2114
26.6411,41.7142,30.2582,22.3061,18.9666,16.0324,13.3223,8.5,2.719,0.212
26.6646,41.8514,30.3548,22.3553,19.0042,16.0582,13.3491,8.5233,2.7251,0.2121
26.6954,42.0327,30.4769,22.4197,19.053,16.0923,13.3848,8.5537,2.733,0.2123
26.7184,42.169,30.5661,22.4676,19.0891,16.118,13.4117,8.5762,2.7389,0.2124
26.8484,42.9683,31.0567,22.7359,19.2858,16.2705,13.5665,8.6991,2.7724,0.2132
27.0101,43.9803,31.6563,23.0692,19.5154,16.4863,13.7604,8.8359,2.8141,0.2141
27.0867,44.4407,31.9403,23.2287,19.6181,16.5941,13.8514,8.8914,2.8339,0.2145
27.1354,44.7309,32.1211,23.331,19.681,16.6628,13.9084,8.9226,2.8465,0.2148
27.2672,45.5136,32.6139,23.615,19.8409,16.8439,14.0573,8.99,2.8808,0.2156
27.2687,45.5228,32.6197,23.6185,19.8427,16.846,14.0589,8.9907,2.8812,0.2156
27.3205,45.8299,32.815,23.7349,19.9002,16.9133,14.1133,9.0123,2.8947,0.2159
27.451,46.6051,33.3149,24.0386,20.0275,17.0673,14.2327,9.0638,2.9289,0.2166
27.5061,46.9332,33.5338,24.1665,20.0727,17.124,14.2757,9.0873,2.9434,0.217
27.6371,47.7201,34.1535,24.4602,20.1596,17.2405,14.3734,9.1562,2.9783,0.2177
27.6845,48.008,34.3618,24.5624,20.1857,17.2771,14.4099,9.1874,2.991,0.218
27.6855,48.0141,34.3662,24.5645,20.1862,17.2779,14.4107,9.1881,2.9913,0.218
27.6863,48.0193,34.3699,24.5663,20.1867,17.2785,14.4114,9.1887,2.9915,0.218
27.6918,48.0526,34.3935,24.5779,20.1896,17.2825,14.4156,9.1926,2.993,0.218
27.7404,48.3527,34.6043,24.6808,20.2161,17.3172,14.4544,9.2293,3.0062,0.2183
27.8968,49.38,35.2949,25.0037,20.3428,17.4145,14.5835,9.3664,3.0494,0.2192
27.9802,50.0002,35.6812,25.1732,20.4584,17.4597,14.654,9.4456,3.073,0.2197
28.0303,50.3687,35.924,25.2746,20.5403,17.4854,14.6967,9.4936,3.0874,0.22
28.0797,50.7228,36.1743,25.3745,20.6268,17.5099,14.739,9.5406,3.1017,0.2203
28.2687,52.0364,37.2144,25.7564,20.9737,17.6017,14.9023,9.7049,3.1562,0.2214
28.288,52.1688,37.3242,25.7956,21.0083,17.6114,14.919,9.7192,3.1614,0.2215
28.3132,52.3405,37.4659,25.8466,21.0525,17.6242,14.9408,9.737,3.168,0.2216
28.3151,52.3535,37.4766,25.8504,21.0558,17.6252,14.9425,9.7383,3.1685,0.2216
28.3712,52.7354,37.7831,25.9643,21.1503,17.6548,14.991,9.7738,3.1823,0.222
28.4209,53.0725,38.0368,26.0656,21.2281,17.6826,15.0331,9.8014,3.1937,0.2222
28.6333,54.5026,39.111,26.5024,21.496,17.8245,15.1803,9.8934,3.2435,0.2235
28.6799,54.8137,39.3925,26.5993,21.5447,17.862,15.207,9.912,3.2565,0.2237
28.6818,54.8265,39.4046,26.6034,21.5467,17.8636,15.208,9.9127,3.2571,0.2238
28.6823,54.8294,39.4073,26.6043,21.5471,17.8639,15.2083,9.9129,3.2572,0.2238
28.6882,54.8693,39.445,26.6168,21.5532,17.869,15.2117,9.9154,3.259,0.2238
28.7361,55.1873,39.7558,26.7169,21.6005,17.9106,15.2385,9.9355,3.2738,0.2241
28.8381,55.8655,40.4593,26.9325,21.6969,18.0069,15.295,9.9848,3.306,0.2247
