x,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
44.38496,6.299,4.8196,3.9607,3.3518,2.2986,0.9789,0.4607,0.1141
44.46845,6.4377,4.8844,4.051,3.4235,2.3341,0.978,0.4593,0.1152
44.4767,6.4495,4.892,4.0582,3.4299,2.3377,0.9774,0.459,0.1156
44.485,6.4611,4.9001,4.065,3.4362,2.3413,0.9766,0.4585,0.1162
44.4851,6.4612,4.9002,4.0651,3.4363,2.3414,0.9766,0.4585,0.1162
44.49334,6.4723,4.9086,4.0716,3.4422,2.345,0.9758,0.458,0.1169
44.50176,6.4833,4.9177,4.078,3.4481,2.3487,0.975,0.4575,0.1176
44.53508,6.5245,4.9584,4.1006,3.4685,2.3634,0.971,0.4543,0.1213
44.59356,6.5935,5.0391,4.1313,3.4961,2.389,0.9653,0.4446,0.1273
44.66871,6.6937,5.1366,4.164,3.5213,2.4197,0.9815,0.4429,0.1249
44.67696,6.7063,5.1464,4.1684,3.5237,2.4229,0.9862,0.4474,0.1234
44.68536,6.7195,5.1562,4.1733,3.5261,2.4261,0.9917,0.4527,0.1215
44.6936,6.7329,5.1655,4.1786,3.5285,2.4291,0.998,0.4583,0.1193
44.70194,6.7466,5.1749,4.1844,3.5308,2.4322,1.0052,0.4642,0.1166
44.71036,6.7608,5.1842,4.1908,3.5332,2.4353,1.0134,0.4704,0.1135
44.74368,6.8189,5.2198,4.2233,3.543,2.4475,1.0561,0.4957,0.098
44.79382,6.9092,5.2712,4.3019,3.5594,2.4663,1.1507,0.5332,0.069
44.86897,7.0351,5.3459,4.4951,3.5926,2.4989,1.3107,0.5832,0.0342
44.88556,7.0574,5.3622,4.5418,3.602,2.508,1.3402,0.5926,0.0314
44.89385,7.0674,5.3704,4.5646,3.6072,2.5131,1.3533,0.5971,0.031
44.91062,7.0858,5.3869,4.6085,3.6184,2.5249,1.3754,0.6054,0.0324
44.94394,7.1184,5.42,4.6821,3.6444,2.5531,1.3976,0.619,0.0431
44.97739,7.1555,5.4538,4.7287,3.6746,2.5795,1.3843,0.6273,0.0608
45.00233,7.1916,5.4796,4.7418,3.6989,2.5933,1.3551,0.6288,0.0762
45.00238,7.1916,5.4796,4.7418,3.6989,2.5933,1.355,0.6287,0.0762
45.01083,7.2058,5.4886,4.7426,3.7074,2.597,1.3424,0.628,0.0815
45.01913,7.2205,5.4974,4.7418,3.7157,2.6003,1.329,0.6266,0.0867
45.07742,7.3395,5.5637,4.7088,3.7734,2.6197,1.2227,0.5964,0.1162
45.09419,7.3765,5.5843,4.6946,3.789,2.6252,1.1941,0.5811,0.1213
45.13585,7.4696,5.6385,4.6615,3.8253,2.6403,1.1411,0.5332,0.1277
45.17765,7.562,5.6962,4.6431,3.8592,2.6591,1.1229,0.4834,0.1278
45.21093,7.6323,5.7421,4.6467,3.8854,2.6784,1.1285,0.4577,0.1251
45.21098,7.6324,5.7421,4.6467,3.8854,2.6785,1.1285,0.4576,0.1251
45.21109,7.6326,5.7423,4.6467,3.8855,2.6786,1.1286,0.4576,0.1251
45.21939,7.6494,5.7534,4.65,3.892,2.6842,1.132,0.4545,0.1242
45.28601,7.7736,5.8384,4.7014,3.9455,2.7399,1.1781,0.4663,0.1159
45.30279,7.8023,5.8589,4.7193,3.9596,2.7559,1.1924,0.4756,0.1142
45.34445,7.8703,5.9093,4.7669,3.9962,2.7957,1.2263,0.5031,0.1112
45.38625,7.9354,5.9593,4.8137,4.0336,2.8317,1.2526,0.5301,0.11
45.41118,7.9738,5.9892,4.8381,4.0555,2.849,1.2646,0.5429,0.1102
45.41124,7.9738,5.9892,4.8382,4.0556,2.8491,1.2647,0.5429,0.1102
45.41135,7.974,5.9894,4.8383,4.0557,2.8491,1.2647,0.5429,0.1102
45.428,7.9997,6.0094,4.8531,4.0698,2.8584,1.2716,0.5491,0.1107
45.49461,8.1051,6.0913,4.9058,4.1199,2.8836,1.2941,0.5577,0.1157
45.51139,8.1328,6.1124,4.9186,4.1302,2.8886,1.2995,0.5568,0.1176
45.5447,8.1899,6.1549,4.9455,4.1472,2.8991,1.3114,0.5531,0.1218
45.58651,8.2664,6.2096,4.9843,4.1639,2.9158,1.3293,0.5468,0.1263
45.61162,8.3154,6.243,5.0112,4.1727,2.9292,1.341,0.5435,0.1277
45.61978,8.332,6.254,5.0204,4.1756,2.9342,1.3449,0.5426,0.1278
45.61984,8.3321,6.2541,5.0205,4.1756,2.9342,1.3449,0.5426,0.1278
45.62826,8.3494,6.2654,5.0303,4.1785,2.9398,1.3489,0.5419,0.1278
45.70321,8.5131,6.3674,5.1243,4.2106,3.0009,1.3818,0.5402,0.1154
45.71165,8.5322,6.3787,5.1353,4.2154,3.0086,1.3849,0.5404,0.1123
45.75331,8.6279,6.4338,5.1891,4.2436,3.047,1.3966,0.5418,0.0919
45.79511,8.7234,6.4856,5.2403,4.278,3.083,1.4004,0.5428,0.0673
45.80354,8.7423,6.4953,5.2499,4.2854,3.0894,1.4002,0.5428,0.0624
45.82838,8.7968,6.5213,5.277,4.3081,3.1048,1.3987,0.5424,0.0489
45.82844,8.797,6.5214,5.277,4.3081,3.1048,1.3987,0.5424,0.0489
45.82852,8.7971,6.5215,5.2771,4.3082,3.1049,1.3987,0.5424,0.0488
45.89512,8.9381,6.5626,5.3404,4.3706,3.1033,1.3939,0.5369,0.0298
45.91191,8.9737,6.5763,5.3549,4.386,3.0988,1.3945,0.5354,0.0311
45.92853,9.0094,6.5953,5.3689,4.4008,3.0978,1.3964,0.5344,0.035
45.93699,9.0279,6.6067,5.3759,4.4082,3.099,1.3979,0.5341,0.0378
45.9536,9.0647,6.6317,5.3898,4.4225,3.1047,1.4019,0.5341,0.0446
45.96208,9.0838,6.6453,5.3969,4.4296,3.1091,1.4044,0.5344,0.0486
45.97868,9.1218,6.673,5.4109,4.4435,3.12,1.41,0.5358,0.0574
46.01195,9.2003,6.7309,5.4396,4.4706,3.1467,1.4235,0.5421,0.0768
46.08703,9.3889,6.8639,5.5056,4.53,3.2149,1.4603,0.5712,0.115
46.12051,9.4785,6.9209,5.5342,4.5565,3.2439,1.4774,0.587,0.1238
46.12879,9.5012,6.9345,5.5412,4.5632,3.2507,1.4816,0.5909,0.1251
46.13725,9.5247,6.9482,5.5482,4.57,3.2574,1.4858,0.5949,0.1262
46.1622,9.5956,6.9869,5.5684,4.5902,3.2753,1.4977,0.6061,0.1278
46.16235,9.596,6.9871,5.5685,4.5903,3.2754,1.4978,0.6061,0.1278
46.17894,9.6446,7.0116,5.5815,4.604,3.2855,1.5055,0.6131,0.1277
46.22055,9.77,7.0685,5.6124,4.6388,3.3054,1.5237,0.6273,0.1248
46.29563,10.0003,7.1583,5.668,4.7044,3.3306,1.5527,0.6383,0.1147
46.32077,10.0752,7.186,5.6884,4.7271,3.3398,1.5613,0.6384,0.1115
46.33739,10.1233,7.204,5.7027,4.7424,3.347,1.5667,0.6377,0.1097
46.33751,10.1237,7.2042,5.7029,4.7425,3.3471,1.5668,0.6377,0.1097
46.36246,10.1933,7.2311,5.7261,4.7655,3.3604,1.5745,0.6357,0.1076
46.36261,10.1937,7.2312,5.7263,4.7656,3.3605,1.5746,0.6357,0.1075
46.38755,10.2597,7.2583,5.7521,4.7884,3.3775,1.5821,0.6328,0.1062
46.42915,10.3642,7.305,5.8014,4.825,3.4118,1.5955,0.6271,0.1061
46.50423,10.549,7.3989,5.9017,4.8823,3.4794,1.6269,0.6214,0.1145
46.52937,10.614,7.4347,5.9356,4.8977,3.5005,1.6411,0.6251,0.12
46.54599,10.6586,7.46,5.9573,4.9066,3.5134,1.6519,0.6301,0.1241
46.54612,10.659,7.4602,5.9575,4.9067,3.5135,1.652,0.6302,0.1241
46.56288,10.706,7.4871,5.9786,4.9148,3.5256,1.6641,0.6378,0.1282
46.57106,10.7297,7.5007,5.9886,4.9184,3.531,1.6704,0.6425,0.1301
46.58781,10.7797,7.5293,6.0081,4.9254,3.5413,1.6841,0.6544,0.1336
46.63775,10.9388,7.6186,6.0591,4.9435,3.5664,1.7287,0.7122,0.1383
46.71283,11.1921,7.7502,6.122,4.9712,3.5939,1.7966,0.8596,0.1142
46.73797,11.276,7.7894,6.141,4.9829,3.6019,1.8165,0.914,0.0931
46.74625,11.303,7.8014,6.1472,4.9872,3.6046,1.8225,0.9313,0.0848
46.74638,11.3034,7.8016,6.1473,4.9873,3.6046,1.8226,0.9315,0.0847
46.74646,11.3036,7.8017,6.1474,4.9873,3.6046,1.8227,0.9317,0.0846
46.77966,11.4082,7.8456,6.1722,5.0071,3.6162,1.8436,0.9942,0.047
46.78806,11.434,7.8559,6.1787,5.0127,3.6197,1.8482,1.0075,0.0369
46.83801,11.5877,7.9134,6.2188,5.0514,3.6504,1.871,1.0537,-0.0199
46.89648,11.7847,7.9834,6.2714,5.1073,3.7015,1.8914,1.0169,-0.0562
46.90474,11.815,7.9944,6.2794,5.116,3.7084,1.8941,1.0054,-0.0568
46.90501,11.816,7.9948,6.2796,5.1163,3.7086,1.8942,1.005,-0.0568
46.93823,11.9439,8.0438,6.3132,5.1535,3.7355,1.9049,0.9496,-0.0464
46.9465,11.9769,8.0574,6.322,5.1632,3.7421,1.9077,0.9344,-0.0412
46.94664,11.9774,8.0576,6.3221,5.1634,3.7422,1.9077,0.9342,-0.0411
46.97164,12.0787,8.1025,6.3493,5.1936,3.762,1.9165,0.8878,-0.0206
47.02992,12.3183,8.2235,6.4167,5.267,3.8085,1.9387,0.7972,0.0424
47.09694,12.5845,8.3754,6.4989,5.3513,3.8649,1.9669,0.7566,0.1082
47.105,12.6149,8.3936,6.5091,5.3611,3.872,1.9704,0.7555,0.1138
47.10508,12.6152,8.3938,6.5092,5.3612,3.8721,1.9704,0.7555,0.1138
47.14684,12.7669,8.4843,6.5623,5.4095,3.9104,1.9891,0.7594,0.1313
47.14691,12.7671,8.4845,6.5624,5.4096,3.9104,1.9891,0.7595,0.1313
47.1551,12.796,8.5012,6.5729,5.4185,3.9181,1.9928,0.7617,0.1329
