x,Over 80 D1,75-80,70-75,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
10.6413,93.032,93.1864,90.1408,13.1262,10.8515,9.6113,8.7878,7.0972,3.7215,0.7698,0.0537
10.6672,93.0487,93.2005,90.1903,13.218,10.8992,9.6543,8.8236,7.1374,3.7524,0.7801,0.0538
10.6931,93.0652,93.2145,90.2378,13.3132,10.9462,9.6979,8.863,7.1777,3.7843,0.7912,0.0539
10.719,93.0815,93.2285,90.2837,13.4116,10.9924,9.742,8.9059,7.2182,3.8174,0.8031,0.0541
10.7449,93.0975,93.2425,90.3285,13.5125,11.0866,9.7868,8.9522,7.2588,3.8516,0.8159,0.0542
11.1074,93.3023,93.4353,90.9206,14.8881,12.1757,10.5282,9.7574,7.8274,4.3881,1.1121,0.0556
11.2109,93.3566,93.4888,91.1187,15.1992,12.4771,10.7939,9.9888,7.9866,4.5326,1.2445,0.0561
11.2368,93.3702,93.502,91.1868,15.2722,12.5447,10.8617,10.0442,8.0258,4.5663,1.2797,0.0562
11.2886,93.426,93.5282,91.436,15.4143,12.6814,10.9935,10.1512,8.1029,4.6299,1.3487,0.0564
11.3145,93.4324,93.5412,91.4693,15.4839,12.7502,11.0562,10.2024,8.1408,4.6595,1.3804,0.0565
11.3404,93.4389,93.5542,91.4899,15.5526,12.8191,11.1169,10.2517,8.178,4.6874,1.4089,0.0566
11.506,93.4806,93.6344,91.5714,15.9885,13.2624,11.4783,10.521,8.4005,4.8275,1.5077,0.0573
11.5734,93.4978,93.6655,91.5987,16.1873,13.4441,11.6206,10.6111,8.4855,4.8698,1.5224,0.0576
11.6511,93.5176,93.6998,91.6296,16.7439,13.6548,11.7863,10.7049,8.583,4.9125,1.5349,0.0579
11.7029,93.5308,93.7215,91.6503,16.9194,13.7969,11.8991,10.7634,8.6483,4.9393,1.5426,0.0581
11.7288,93.5375,93.732,91.6608,16.9986,13.8692,11.9564,10.792,8.6811,4.9527,1.5463,0.0582
11.7547,93.5441,93.7422,91.6715,17.075,13.9282,12.0145,10.8203,8.7139,4.9663,1.5501,0.0583
11.91,93.584,93.7983,91.7418,17.5075,14.2928,12.3747,10.9947,8.9106,5.0595,1.572,0.0589
11.9618,93.5973,93.8153,91.7693,17.6473,14.4158,12.4963,11.0579,8.9759,5.0981,1.5793,0.0591
12.143,93.644,93.8692,91.8961,18.1359,14.8505,12.9102,11.3002,9.2013,5.2593,1.6052,0.0599
12.2466,93.6706,93.8973,91.9843,18.4212,15.1036,13.125,11.4484,9.326,5.362,1.6207,0.0603
12.2725,93.6773,93.9041,92.0062,18.4932,15.1686,13.1743,11.4862,9.3563,5.3881,1.6247,0.0604
12.2984,93.6839,93.9108,92.0276,18.5653,15.2171,13.2211,11.5241,9.3862,5.4143,1.6289,0.0605
12.4846,93.7317,93.9576,92.1611,19.0775,15.5845,13.4815,11.7997,9.5901,5.5977,1.6681,0.0613
12.5055,93.7371,93.9626,92.1738,19.1332,15.6262,13.5045,11.8304,9.6128,5.617,1.6742,0.0614
12.6609,93.7768,93.9998,92.2587,19.528,15.939,13.6761,12.0552,9.7905,5.7504,1.7223,0.062
12.7385,93.7967,94.0179,92.2965,19.7107,16.0968,13.7784,12.1633,9.8854,5.8116,1.7459,0.0623
13.0751,93.8822,94.0938,92.4395,20.4479,16.7692,14.3358,12.5734,10.3098,6.0621,1.8442,0.0637
13.101,93.8887,94.0995,92.4494,20.5043,16.8209,14.38,12.5999,10.3423,6.0819,1.8515,0.0638
13.2046,93.9149,94.1219,92.4879,20.7346,17.0272,14.5512,12.6998,10.4709,6.1636,1.8807,0.0642
13.2564,93.9279,94.133,92.5064,20.8545,17.1302,14.6317,12.7483,10.5336,6.2064,1.895,0.0644
13.3081,93.941,94.144,92.5245,20.9787,17.2331,14.7069,12.7971,10.5942,6.2505,1.9091,0.0646
13.4959,93.988,94.183,92.5866,21.4774,17.6049,14.9375,12.9925,10.8056,6.4245,1.9563,0.0653
13.6447,94.0251,94.2131,92.632,21.941,17.8967,15.1353,13.1855,10.998,6.5807,1.9952,0.0659
13.6706,94.0316,94.2183,92.6396,22.0283,17.9469,15.1779,13.2237,11.0344,6.6098,2.0025,0.0661
13.6965,94.038,94.2234,92.647,22.1171,17.9968,15.224,13.2635,11.0715,6.6394,2.0099,0.0662
13.7224,94.0444,94.2285,92.6543,22.2071,18.0462,15.2739,13.3046,11.1091,6.6697,2.0174,0.0663
13.8001,94.0637,94.2437,92.6756,22.4813,18.2539,15.4497,13.4357,11.2242,6.7636,2.0401,0.0666
14.1108,94.14,94.3021,92.7528,23.5185,19.0286,16.4018,14.0675,11.7108,7.1608,2.1314,0.0678
14.2143,94.1653,94.3206,92.7763,23.8162,19.2823,16.7105,14.3376,11.8825,7.2902,2.161,0.0682
14.2402,94.1716,94.3252,92.782,23.8876,19.3455,16.7813,14.4246,11.9265,7.3215,2.1682,0.0683
14.292,94.1841,94.3342,92.7934,24.0282,19.4729,16.9124,14.6932,12.0164,7.3825,2.1824,0.0685
14.3179,94.1904,94.3387,92.799,24.0976,19.5366,16.9721,14.7558,12.0624,7.412,2.1892,0.0686
14.3438,94.1967,94.3432,92.8046,24.1666,19.6002,17.0273,14.8016,12.109,7.441,2.1958,0.0687
14.5071,94.236,94.3704,92.839,24.6057,20.0013,17.2815,15.0305,12.4106,7.616,2.2334,0.0694
14.5768,94.2527,94.3816,92.8533,24.8177,20.1721,17.3558,15.1244,12.5358,7.6899,2.2541,0.0697
14.6545,94.2712,94.3937,92.869,25.467,20.3624,17.428,15.2316,12.6692,7.7747,2.2826,0.07
14.7322,94.2897,94.4055,92.8845,25.8222,20.5521,17.5015,15.3437,12.797,7.8646,2.314,0.0703
14.8616,94.3203,94.4246,92.91,26.3342,20.8789,17.6774,15.5472,13.0029,8.0327,2.3692,0.0708
14.9134,94.3324,94.4319,92.9201,26.5325,21.0092,17.7917,15.6373,13.0838,8.1083,2.392,0.071
15.0946,94.3747,94.4567,92.955,27.2299,21.464,18.3384,16.0028,13.3623,8.3956,2.4743,0.0717
15.25,94.4106,94.4767,92.9844,27.8533,21.8517,18.7568,16.3488,13.5977,8.6374,2.5489,0.0723
15.2759,94.4165,94.48,92.9893,27.9593,21.9373,18.8158,16.4053,13.6368,8.6747,2.562,0.0724
15.3536,94.4343,94.4895,93.0039,28.2786,22.2185,18.9767,16.5662,13.7531,8.7787,2.6028,0.0727
15.4312,94.4519,94.4988,93.0184,28.5967,22.3248,19.1175,16.7088,13.8652,8.8685,2.6455,0.073
15.4571,94.4578,94.5019,93.0233,28.7008,22.3599,19.161,16.7512,13.901,8.8948,2.6595,0.0731
15.4858,94.4643,94.5052,93.0286,28.8132,22.3991,19.2076,16.7949,13.9393,8.9218,2.6744,0.0733
15.5089,94.4695,94.5079,93.0329,28.9,22.4308,19.2442,16.8279,13.9694,8.9423,2.6859,0.0733
15.6642,94.5043,94.5254,93.0616,29.1785,22.646,19.4691,17.0082,14.155,9.0529,2.7482,0.074
15.8973,94.5555,94.5503,93.1043,29.7449,22.9655,19.7579,17.1986,14.4082,9.1685,2.8193,0.0749
16.0526,94.589,94.5661,93.1325,30.1466,23.2536,19.9258,17.3088,14.5704,9.2406,2.8627,0.0755
16.1821,94.6165,94.5789,93.1558,30.4778,23.4928,20.0517,17.4054,14.7024,9.3121,2.8984,0.076
